Butuan,(8.4492,125.0436,9.4492,126.0436)
Cagayan de Oro City,(7.9822,124.1472,8.9822,125.1472)
Calabar,(4.4517,7.822,5.4517,8.822)
Calgary,(50.5441,-114.5593,51.5441,-113.5593)
Cali,(2.9372,-77.0225,3.9372,-76.0225)
Chanthaburi,(12.1094,101.6044,13.1094,102.6044)
Chiang Rai,(19.4083,99.3325,20.4083,100.3325)
Chicago,(41.35,-88.1501,42.35,-87.1501)
Chisinau,(46.5056,28.3575,47.5056,29.3575)
Chitungwiza,(-18.5127,30.5756,-17.5127,31.5756)
Chongjin,(41.2956,129.2758,42.2956,130.2758)
Ciudad del Este,(-26.0167,-55.1167,-25.0167,-54.1167)
Colombo,(6.4319,79.3478,7.4319,80.3478)
Columbia, South Carolina,(33.4995,-81.5365,34.4995,-80.5365)
Concepcion,(-37.327,-73.5498,-36.327,-72.5498)
Cordoba,(-31.9135,-64.6811,-30.9135,-63.6811)
Corrientes,(-27.9806,-59.3341,-26.9806,-58.3341)
Cuenca,(-3.3833,-79.4833,-2.3833,-78.4833)
Culiacan,(24.2994,-107.8897,25.2994,-106.8897)
Cumana,(9.9635,-64.6775,10.9635,-63.6775)
Daejon,(35.8214,126.9197,36.8214,127.9197)
Deir El-Zor,(Deir ez-Zor),(34.8322,39.6502,35.8322,40.6502)
Delhi,(28.1667,76.7167,29.1667,77.7167)
Denver-Aurora,(39.2343,-105.4831,40.2343,-104.4831)
Diyarbakir,(37.4158,39.7189,38.4158,40.7189)
Douala,(3.5483,9.2043,4.5483,10.2043)
Dujiangyan,(30.4966,103.1281,31.4966,104.1281)
East London ,(Buffalo City),(-33.5153,27.4116,-32.5153,28.4116)
Edmonton,(53.0434,-114.0037,54.0434,-113.0037)
English Bazar,(24.5,87.65,25.5,88.65)
Erode,(10.8428,77.2274,11.8428,78.2274)
Esfahan,(32.1572,51.1776,33.1572,52.1776)
Farrukhabad,(26.8905,79.0801,27.8905,80.0801)
Fes,(33.5372,-5.4998,34.5372,-4.4998)
Fujin,(46.7485,131.5373,47.7485,132.5373)
Fushun, Liaoning,(41.3807,123.4467,42.3807,124.4467)
Fuzhou, Fujian,(25.5754,118.7989,26.5754,119.7989)
Geneve,(45.7022,5.6457,46.7022,6.6457)
Goma,(-2.1792,28.7228,-1.1792,29.7228)
Grand Rapids,(42.4564,-86.1649,43.4564,-85.1649)
Grenoble,(44.6667,5.2167,45.6667,6.2167)
Guayaquil,(-2.6667,-80.4,-1.6667,-79.4)
Guwahati ,(Gauhati),(25.6735,91.2503,26.6735,92.2503)
Haikou,(19.5274,109.8301,20.5274,110.8301)
Hamah,(34.6318,36.2578,35.6318,37.2578)
Hamhung,(39.4183,127.0364,40.4183,128.0364)
Hanzhong,(32.5728,106.5303,33.5728,107.5303)
Ho Chi Minh City,(10.25,106.1667,11.25,107.1667)
Houston,(29.2602,-95.8694,30.2602,-94.8694)
Huaibei,(33.4549,116.2929,34.4549,117.2929)
Huancayo,(-12.5667,-75.7333,-11.5667,-74.7333)
Hue,(15.9667,107.1,16.9667,108.1)
Huizhou,(22.5833,113.9,23.5833,114.9)
Huntsville,(34.2297,-87.0898,35.2297,-86.0898)
Ijebu-Ode,(6.3161,3.4159,7.3161,4.4159)
Ikorodu,(6.1087,3.0108,7.1087,4.0108)
Iligan,(7.7274,123.7426,8.7274,124.7426)
Imphal,(24.3167,93.45,25.3167,94.45)
Indianapolis,(39.2909,-86.6477,40.2909,-85.6477)
Jabalpur,(22.667,79.4501,23.667,80.4501)
Jinan, Shandong,(36.1767,116.4971,37.1767,117.4971)
Jiujiang,(29.2041,115.5013,30.2041,116.5013)
Kadapa,(13.971,78.3241,14.971,79.3241)
Kaili,(26.0834,107.4719,27.0834,108.4719)
Kaluga,(54.0293,35.7754,55.0293,36.7754)
Kannur,(11.3729,74.8716,12.3729,75.8716)
Karachi,(24.4056,66.5822,25.4056,67.5822)
Karur,(10.4577,77.581,11.4577,78.581)
Kenitra,(33.761,-7.0802,34.761,-6.0802)
Khabarovsk,(47.9827,134.5838,48.9827,135.5838)
Khammam,(16.75,79.65,17.75,80.65)
Kharagpur,(21.8263,86.8192,22.8263,87.8192)
Kigali,(-2.4474,29.5579,-1.4474,30.5579)
Kinshasa,(-4.8276,14.8136,-3.8276,15.8136)
Kisangani,(0.0167,24.7,1.0167,25.7)
Kitchener-Cambrigde-Waterloo,(42.9254,-81.0112,43.9254,-80.0112)
Knoxville,(35.4607,-84.4277,36.4607,-83.4277)
Kolhapur,(16.1956,73.7317,17.1956,74.7317)
Kollam,(8.3806,76.0917,9.3806,77.0917)
Koln (Cologne),(50.4333,6.45,51.4333,7.45)
Kuala Terengganu,(4.8302,102.6408,5.8302,103.6408)
Kuching,(1.05,109.8333,2.05,110.8333)
Kumamoto,(32.2897,130.2417,33.2897,131.2417)
Kut,(32,45.3333,33,46.3333)
Kyiv (Kiev),(49.9454,30.0186,50.9454,31.0186)
La Serena-Coquimbo,(-30.4045,-71.7489,-29.4045,-70.7489)
Lafayette,(29.7242,-92.5197,30.7242,-91.5197)
Lakeland,(27.5412,-82.459,28.5412,-81.459)
Lampang,(17.7923,98.9928,18.7923,99.9928)
Langfang,(39.0097,116.1947,40.0097,117.1947)
Lengshuijiang,(27.1879,110.9374,28.1879,111.9374)
Lilongwe,(-14.4669,33.2873,-13.4669,34.2873)
Linyi, Shandong,(34.5541,117.8334,35.5541,118.8334)
Liupanshui,(26.0923,104.3377,27.0923,105.3377)
Lokoja,(7.3024,6.243,8.3024,7.243)
London,(42.4834,-81.733,43.4834,-80.733)
Lop Buri,(14.2981,100.154,15.2981,101.154)
Los Angeles-Long Beach-Santa Ana,(33.5317,-118.7417,34.5317,-117.7417)
Lvliang,(37.0195,110.6318,38.0195,111.6318)
Lyon,(45.2485,4.3467,46.2485,5.3467)
Managua,(11.6328,-86.7504,12.6328,-85.7504)
Manaus,(-3.6019,-60.525,-2.6019,-59.525)
Mandalay,(21.4747,95.5836,22.4747,96.5836)
Mangalore,(12.4172,74.356,13.4172,75.356)
Manisa,(38.112,26.9265,39.112,27.9265)
Matola,(-26.4622,31.9589,-25.4622,32.9589)
Maunath Bhanjan,(25.4475,83.059,26.4475,84.059)
Mbandaka,(-0.4513,17.7603,0.5487,18.7603)
McAllen,(25.7163,-98.7364,26.7163,-97.7364)
Meerut,(28.4716,77.2193,29.4716,78.2193)
Melbourne,(-38.314,144.4633,-37.314,145.4633)
Merida,(8.0952,-71.6434,9.0952,-70.6434)
Minatitlan,(17.5013,-95.0581,18.5013,-94.0581)
Mogilev,(53.4141,29.8376,54.4141,30.8376)
Montreal,(45.0088,-74.0878,46.0088,-73.0878)
Morelia,(19.2008,-101.6844,20.2008,-100.6844)
Mudanjiang,(44.0833,129.1,45.0833,130.1)
Munchen (Munich),(47.6371,11.0734,48.6371,12.0734)
Muzaffarpur,(25.6167,84.9,26.6167,85.9)
Mwanza,(-3.0167,32.4,-2.0167,33.4)
Nagano,(36.1514,137.6811,37.1514,138.6811)
Nakhon Pathom,(13.3194,99.5442,14.3194,100.5442)
Nakhon Ratchasima,(14.4707,101.602,15.4707,102.602)
Namangan,(40.4983,71.1726,41.4983,72.1726)
Nanded Waghala,(18.6618,76.8137,19.6618,77.8137)
Nanjing, Jiangsu,(31.5482,118.2898,32.5482,119.2898)
Nasiriyah,(30.5333,45.7667,31.5333,46.7667)
Navsari,(20.4485,72.4308,21.4485,73.4308)
Newcastle-Maitland,(-33.4249,151.2409,-32.4249,152.2409)
Nha Trang,(11.75,108.6833,12.75,109.6833)
Nï¿½Djamena,(11.6067,14.5444,12.6067,15.5444)
Niamey,(13.0137,1.6098,14.0137,2.6098)
Ningbo,(29.3782,121.0495,30.3782,122.0495)
Nottingham,(52.4536,-1.6505,53.4536,-0.6505)
Novokuznetsk,(53.2557,86.6099,54.2557,87.6099)
Oaxaca de Juarez,(16.55,-97.2167,17.55,-96.2167)
Onitsha,(5.6454,6.2885,6.6454,7.2885)
Oshawa,(43.4001,-79.3496,44.4001,-78.3496)
Ottappalam,(10.2667,75.8833,11.2667,76.8833)
Ottawa-Gatineau,(44.9166,-76.198,45.9166,-75.198)
Palembang,(-3.4167,104.2458,-2.4167,105.2458)
Palm Bay-Melbourne,(27.559,-81.0983,28.559,-80.0983)
Panipat,(28.8889,76.4681,29.8889,77.4681)
Panjin,(40.6219,121.5701,41.6219,122.5701)
Panzhihua,(26.0851,101.2128,27.0851,102.2128)
Paris,(48.3534,1.8488,49.3534,2.8488)
Patna,(25.1,84.6167,26.1,85.6167)
Pelotas,(-32.2719,-52.8425,-31.2719,-51.8425)
Perth,(-32.4478,115.3525,-31.4478,116.3525)
Petrolina,(-9.8986,-41.0008,-8.8986,-40.0008)
Phnum Penh (Phnom Penh),(11.0625,104.416,12.0625,105.416)
Piura,(-5.7,-81.1333,-4.7,-80.1333)
Pohang,(35.5172,128.8602,36.5172,129.8602)
Porto Alegre,(-30.5331,-51.73,-29.5331,-50.73)
Porto Velho,(-9.2619,-64.4039,-8.2619,-63.4039)
Posadas,(-27.8671,-56.3961,-26.8671,-55.3961)
Praha ,(Prague),(49.588,13.9208,50.588,14.9208)
Preston,(53.261,-3.2024,54.261,-2.2024)
Puebla,(18.5415,-98.705,19.5415,-97.705)
Purnia,(25.2833,86.9667,26.2833,87.9667)
Pyongyang,(38.5339,125.2543,39.5339,126.2543)
Qacentina,(35.8549,6.1073,36.8549,7.1073)
Qitaihe,(45.2671,130.475,46.2671,131.475)
Quebec,(46.3123,-71.7145,47.3123,-70.7145)
Queretaro,(20.1,-100.8833,21.1,-99.8833)
Rabat,(33.5133,-7.3326,34.5133,-6.3326)
Rajahmundry,(16.5038,81.2894,17.5038,82.2894)
Rangpur,(25.25,88.75,26.25,89.75)
Raniganj,(23.1164,86.6306,24.1164,87.6306)
Ranipet,(12.4315,78.8323,13.4315,79.8323)
Ratchaburi,(13.0367,99.3169,14.0367,100.3169)
Reading-Wokingham,(50.9112,-1.3356,51.9112,-0.3356)
Recife,(-8.5539,-35.3811,-7.5539,-34.3811)
Resistencia,(-27.9606,-59.4839,-26.9606,-58.4839)
Roma (Rome),(41.3947,11.9811,42.3947,12.9811)
Rosario,(-33.4468,-61.1393,-32.4468,-60.1393)
Rotterdam,(51.4225,3.9792,52.4225,4.9792)
Round Lake Beach-McHenry-Grayslake,(41.854,-88.6005,42.854,-87.6005)
Sacramento,(38.0816,-121.9944,39.0816,-120.9944)
Sakarya,(40.2738,29.9024,41.2738,30.9024)
Samarinda,(-0.9948,116.6436,0.0052,117.6436)
Samarkand,(39.1542,66.4597,40.1542,67.4597)
San Diego,(32.2153,-117.6573,33.2153,-116.6573)
San Francisco-Oakland,(37.2599,-122.9374,38.2599,-121.9374)
San Pedro Sula,(15,-88.5333,16,-87.5333)
San Salvador de Jujuy,(-24.6946,-65.7971,-23.6946,-64.7971)
Sanandaj,(34.8144,46.4923,35.8144,47.4923)
Sanming,(25.7641,117.1191,26.7641,118.1191)
Santa Fe,(-32.1327,-61.1983,-31.1327,-60.1983)
Santiago,(-33.9569,-71.1483,-32.9569,-70.1483)
Santiago,(18.9602,-71.1997,19.9602,-70.1997)
Santipur,(22.7472,87.933,23.7472,88.933)
Sao Paulo,(-24.0475,-47.1361,-23.0475,-46.1361)
Sapporo,(42.5642,140.8469,43.5642,141.8469)
Sarajevo,(43.3486,17.8564,44.3486,18.8564)
Saskatoon,(51.6168,-107.1345,52.6168,-106.1345)
Satna,(24.0833,80.3333,25.0833,81.3333)
Sevilla,(36.8824,-6.4761,37.8824,-5.4761)
Shangrao,(27.9604,117.4531,28.9604,118.4531)
Shangyu,(29.5311,120.3722,30.5311,121.3722)
Shiraz,(29.1036,52.0388,30.1036,53.0388)
Sialkot,(32,74.0167,33,75.0167)
Skopje,(41.5,20.9333,42.5,21.9333)
Sofia,(42.1975,22.8242,43.1975,23.8242)
Songzi,(29.6736,111.2761,30.6736,112.2761)
Srinagar,(33.5837,74.2974,34.5837,75.2974)
St. Louis,(38.1286,-90.6972,39.1286,-89.6972)
Sylhet,(24.3967,91.3717,25.3967,92.3717)
Szczecin,(52.9289,14.053,53.9289,15.053)
Tanta,(30.2872,30.4995,31.2872,31.4995)
Tbilisi,(41.1941,44.3337,42.1941,45.3337)
Temuco,(-39.2333,-73.1,-38.2333,-72.1)
Tete,(-16.6564,33.0867,-15.6564,34.0867)
Thrissur,(10.0167,75.7167,11.0167,76.7167)
Tieling,(41.7931,123.3414,42.7931,124.3414)
Tiruchirappalli,(10.305,78.1856,11.305,79.1856)
Tlaxcala,(18.8139,-98.7417,19.8139,-97.7417)
Tomsk,(55.9942,84.4742,56.9942,85.4742)
Tongchuan,(34.3988,108.4506,35.3988,109.4506)
Tongling,(30.4363,117.3109,31.4363,118.3109)
Torino (Turin),(44.5687,7.1772,45.5687,8.1772)
Toulouse,(43.1043,0.9437,44.1043,1.9437)
Tula,(53.7021,37.1443,54.7021,38.1443)
Ufa,(54.2852,55.5456,55.2852,56.5456)
Ulaanbaatar,(47.4077,106.3832,48.4077,107.3832)
Ulan-Ude,(51.3261,107.1098,52.3261,108.1098)
Utrecht,(51.5908,4.6222,52.5908,5.6222)
Uvira,(-3.8953,28.6378,-2.8953,29.6378)
Van,(38,42.8833,39,43.8833)
Vancouver,(48.7497,-123.6193,49.7497,-122.6193)
Verona,(44.9342,10.4978,45.9342,11.4978)
Vientiane,(17.4667,102.1,18.4667,103.1)
Vilnius,(54.1892,24.7798,55.1892,25.7798)
Visalia,(35.8241,-119.8073,36.8241,-118.8073)
Vladikavkaz,(42.5367,44.1678,43.5367,45.1678)
Warri,(5.0167,5.25,6.0167,6.25)
Warszawa ,(Warsaw),(51.7298,20.5118,52.7298,21.5118)
Washington, D.C.,(38.3951,-77.5364,39.3951,-76.5364)
Windsor,(41.7811,-83.5079,42.7811,-82.5079)
Winnipeg,(49.3955,-97.6294,50.3955,-96.6294)
Witbank,(-26.3713,28.7332,-25.3713,29.7332)
Wonsan,(38.6528,126.9436,39.6528,127.9436)
Wuhan,(30.0833,113.7667,31.0833,114.7667)
Xingyi, Guizhou,(24.5945,104.3983,25.5945,105.3983)
Xining,(36.1167,101.2667,37.1167,102.2667)
Xuanwei,(25.729,103.6018,26.729,104.6018)
Yaan,(29.4874,102.4945,30.4874,103.4945)
Yanji,(42.4075,129.0078,43.4075,130.0078)
Yaroslavl,(57.1299,39.3737,58.1299,40.3737)
Yerevan,(39.682,44.0146,40.682,45.0146)
Yinchuan,(37.9681,105.7731,38.9681,106.7731)
Zagreb,(45.3144,15.478,46.3144,16.478)
Zaragoza,(41.1561,-1.3773,42.1561,-0.3773)
Zhaoqing,(22.5512,111.9597,23.5512,112.9597)
Zhaotong,(26.8363,103.2189,27.8363,104.2189)
